pattern_id,worker_leaf_nodes,cost,mean_performance,mean_job_satisfaction,support_size,policy__Prehire Tests,policy__Structured Interviews,policy__Employee Participation,policy__Complaint Procedure,policy__Group Bonuses,policy__Individual Bonuses,policy__Performance Evaluation,policy__Goals Communication,policy__Suggestion Adoption,policy__Performance Pay,policy__Internal Promotion,policy__Job Autonomy,policy__Selective Hiring,policy__Pay Competitiveness,policy__Job Training,solution_id,setting,team_label,n_active_levers
P10,17|17|73,75.0,6.666666666666667,5.665833333333333,1,1.0,7.0,4.0,6.0,1.0,1.0,6.0,4.0,2.0,1.0,6.0,1.0,1.0,1.0,2.0,D8060_S1,design,8060,
P8,10|10|73,85.0,6.3194444444444455,6.0758333333333345,1,2.0,3.0,3.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,3.0,5.0,3.0,D8060_S2,design,8060,
P9,10|10|81,105.0,5.777777777777779,6.371111111111111,1,1.0,3.0,1.0,4.0,1.0,5.0,6.0,2.0,2.0,3.0,5.0,6.0,4.0,3.0,1.0,D8060_S3,design,8060,
P6,10|10|88,108.0,6.527777777777779,6.575,16,2.0,5.0,5.0,5.0,2.0,4.0,6.0,4.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,D8060_S4,design,8060,
P7,10|10|93,109.0,6.388888888888889,6.705555555555556,1,2.0,7.0,3.0,5.0,6.0,5.0,5.0,6.0,4.0,3.0,3.0,2.0,2.0,3.0,1.0,D8060_S5,design,8060,
P4,41|41|114,110.0,6.972222222222222,6.555555555555556,1,1.0,2.0,5.0,5.0,1.0,1.0,1.0,4.0,5.0,6.0,3.0,7.0,6.0,2.0,1.0,D8060_S6,design,8060,
P5,10|10|87,110.0,6.583333333333333,6.705555555555556,16,2.0,4.0,4.0,5.0,2.0,4.0,5.0,4.0,3.0,3.0,5.0,4.0,3.0,3.0,3.0,D8060_S7,design,8060,
P3,41|41|93,112.0,6.777777777777778,6.852222222222223,1,3.0,7.0,6.0,2.0,5.0,5.0,7.0,2.0,6.0,1.0,3.0,4.0,2.0,2.0,1.0,D8060_S8,design,8060,
P2,41|41|88,117.0,6.916666666666667,6.721666666666667,16,3.0,6.0,5.0,4.0,4.0,4.0,6.0,4.0,5.0,2.0,4.0,4.0,3.0,3.0,2.0,D8060_S9,design,8060,
P1,41|41|125,118.0,7.0,7.0,16,2.0,6.0,5.0,6.0,2.0,2.0,5.0,5.0,5.0,2.0,4.0,5.0,5.0,3.0,3.0,D8060_S10,design,8060,
